ID_VGame;VideoGame;Year;Genre;Copy.Publisher 2;Rating;Publisher;Developer;;;;;
111259;Circle Empires;2018;indefined;;RP;Iceberg Interactive;Luminous;;;;;
111262;MonteCrypto: The Bitcoin Enigma;2018;indefined;;RP;Gem Rose Accent;Gem Rose Accent, Corentin Derbré;;;;;
111265;???????? ? The Disappearing of Gensokyo;2018;indefined;;RP;MyACG Studio;MyACG Studio;;;;;
111604;Slap City;2018;indefined;;RP;Ludosity;Ludosity;;;;;
111268;???? Fate Seeker;2018;indefined;;RP;???????????;???????????;;;;;
112204;Golfing Over It with Alva Majo;2018;indefined;;RP;Majorariatto;Majorariatto;;;;;
111271;Mist Survival;2018;indefined;;RP;Rati Wattanakornprasit;Rati Wattanakornprasit;;;;;
111274;BlazBlue: Cross Tag Battle;2018;indefined;;RP;Arc System Works;Arc System Works;;;;;
111277;Regions Of Ruin;2018;indefined;;RP;Poysky Productions;Vox Games;;;;;
111280;Lethal League Blaze;2018;indefined;;RP;Team Reptile;Team Reptile;;;;;
111283;Total War Saga: THRONES OF BRITANNIA;2018;indefined;;RP;SEGA, Feral Interactive (Mac), Feral Interactive (Linux);CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux);;;;;
111286;Breathedge;2018;indefined;;RP;RedRuins Softworks;RedRuins Softworks;;;;;
111289;Gazing from beyond;2018;indefined;;RP;SakuraGame;????;;;;;
111292;Vagante;2018;indefined;;RP;Nuke Nine;Nuke Nine;;;;;
111295;Flashing Lights - Police, Firefighting, Emergency Services Simulator (????????);2018;indefined;;RP;Excalibur Games;Nils Jakrins;;;;;
111298;Stormworks: Build and Rescue;2018;indefined;;RP;Green Man Gaming Publishing;Sunfire Software;;;;;
111301;Call of Cthulhu;2018;indefined;;RP;Focus Home Interactive;Cyanide Studio;;;;;
111304;Lobotomy Corporation | Monster Management Simulation;2018;indefined;;RP;Project Moon;Project Moon;;;;;
111307;Space Hulk: Deathwing - Enhanced Edition;2018;indefined;;RP;Focus Home Interactive;Streum On Studio;;;;;
111310;Guts and Glory;2018;indefined;;RP;tinyBuild;HakJak Productions;;;;;
111313;Bio Inc. Redemption;2018;indefined;;RP;DryGin Studios;DryGin Studios;;;;;
111316;Forged Battalion;2018;indefined;;RP;Team17 Digital Ltd;Petroglyph;;;;;
111319;Air Threat;2018;indefined;;RP;Garage Games;SharkGame;;;;;
111322;Post Scriptum;2018;indefined;;RP;Offworld Industries;Periscope Games;;;;;
111325;??? Wuxia Master;2018;indefined;;RP;???????????;???????????;;;;;
110080;Niffelheim;2018;indefined;;RP;Ellada Games;Ellada Games;;;;;
110083;Super Seducer : How to Talk to Girls;2018;indefined;;RP;RLR Training Inc, Red Dahlia Interactive;RLR Training Inc;;;;;
109078;Spring of Decadence / ????;2018;indefined;;RP;Youxicehuahuisuo;BVRgame;;;;;
110086;BREAK ARTS II;2018;indefined;;RP;AGM PLAYISM;MercuryStudio;;;;;
110089;Kingdom Two Crowns;2018;indefined;;RP;Raw Fury;Noio, Coatsink;;;;;
108616;Barro;2018;indefined;;RP;SC Jogos;SC Jogos;;;;;
110092;WARRIORS OROCHI 4 - ??OROCHI?;2018;indefined;;RP;KOEI TECMO GAMES CO., LTD.;KOEI TECMO GAMES CO., LTD.;;;;;
108619;Tower Stacker;2018;indefined;;RP;For Kids;For Kids;;;;;
110095;Wrath of Anna;2018;indefined;;RP;Lorenzo Games, Michael L. Fiorentino Gutierrez;Lorenzo Games, Michael L. Fiorentino Gutierrez;;;;;
108862;SINISTRY SILINIUM;2018;indefined;;RP;Siberian Digital;Igrodelsky;;;;;
110098;SYNTHETIK: Legion Rising;2018;indefined;;RP;Flow Fire Games;Flow Fire Games;;;;;
110101;Dungeon Warfare 2;2018;indefined;;RP;Valsar;Valsar;;;;;
108622;Hentai Girl Linda;2018;indefined;;RP;GirlGame;GirlGame;;;;;
110104;????(Happy together);2018;indefined;;RP;wind;wind;;;;;
110107;Need to Know;2018;indefined;;RP;Monomyth Games;Monomyth Games;;;;;
110110;Blonde Driver;2018;indefined;;RP;Game for people;Easy game;;;;;
109081;Aeve:Zero Gravity;2018;indefined;;RP;EasyGames;EasyGames;;;;;
108625;Radioactive Puzzle;2018;indefined;;RP;Riviysky;Riviysky;;;;;
108628;HALUNAZI;2018;indefined;;RP;HALUIndefinedZI GAMES;HALUIndefinedZI GAMES;;;;;
107821;Welcome to the Game II;2018;indefined;;RP;Reflect Studios;Reflect Studios;;;;;
110113;Out of the Park Baseball 19;2018;indefined;;RP;Out of the Park Developments;Out of the Park Developments;;;;;
108253;NEKOPARA Extra;2018;indefined;;RP;Sekai Project;NEKO WORKs;;;;;
108256;Picross Fairytale - nonogram: Red Riding Hood secret;2018;indefined;;RP;8floor;Somer Games;;;;;
110116;???? I????? [City of God I - Prison Empire];2018;indefined;;RP;Pixel Gangsta Studio, Flying Interactive;Pixel Gangsta Studio;;;;;
109084;Great Hero's Beard;2018;indefined;;RP;SakuraGame;OneShark;;;;;
110119;Foto Flash;2018;indefined;;RP;Studio Gamaii;Studio Gamaii;;;;;
110122;Band of Defenders;2018;indefined;;RP;Alda Games;Alda Games;;;;;
108631;Treasures of the Ancients: Egypt;2018;indefined;;RP;Garage Games;Garage Games, Jan Hess;;;;;
110125;Mega Man 11 / ?????11 ?????!!;2018;indefined;;RP;CAPCOM Co., Ltd.;CAPCOM Co., Ltd.;;;;;
107824;Tropical Liquor;2018;indefined;;RP;Sekai Project;Tentacle Games;;;;;
110128;Skater XL;2018;indefined;;RP;Easy Day Studios Pty Ltd;Easy Day Studios Pty Ltd;;;;;
108634;Slayer Of Traitors;2018;indefined;;RP;Tero Lunkka;Tero Lunkka;;;;;
107827;PIPE by BMX Streets;2018;indefined;;RP;Mash Games;Mash Games;;;;;
110131;Dying Light: Bad Blood;2018;indefined;;RP;Techland Publishing;Techland;;;;;
107830;Zero G Arena;2018;indefined;;RP;Jonathan Wood;Jonathan Wood;;;;;
110134;VR Kanojo / VR????;2018;indefined;;RP;ILLUSION;ILLUSION;;;;;
107833;Hunt Down The Freeman;2018;indefined;;RP;Royal Rudius Entertainment;Royal Rudius Entertainment;;;;;
110137;Out of Reach;2018;indefined;;RP;Space Boat Studios;Space Boat Studios;;;;;
110140;Glare1more;2018;indefined;;RP;Kurenaibook;Kurenaibook;;;;;
108865;Cryptocurrency Clicker;2018;indefined;;RP;Wonderbox Games;Wonderbox Games;;;;;
108868;Reigns: Game of Thrones;2018;indefined;;RP;Devolver Digital;Nerial;;;;;
108259;Among Us;2018;indefined;;RP;Innersloth;Innersloth;;;;;
108637;Astro Bouncer;2018;indefined;;RP;For Kids;For Kids;;;;;
